Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P61265,STX1B_RAT,Syntaxin-1B,Stx1b,578491000,647338000,544893000,556215000,454769000,387146000,520454000,462175000,519916000,521133000
P61314,RL15_RAT,Large ribosomal subunit protein eL15,Rpl15,97958400,22497700,27328100,25651400,24417000,30714800,25608400,140253000,30691100,25572400
P61354,RL27_RAT,Large ribosomal subunit protein eL27,Rpl27,127784000,28986900,33579500,39599700,30267300,53574300,26953900,156682000,29411100,24500700
P61459,PHS_RAT,Pterin-4-alpha-carbinolamine dehydratase,Pcbd1,106594000,94986300,89567700,82481900,85827300,62478300,89916200,71905200,88289400,74205100
P61515,RL37A_RAT,Large ribosomal subunit protein eL43,Rpl37a,35052000,8161420,10424700,10156700,8887920,57972800,8947840,51357200,8212900,7870200
P61589,RHOA_RAT,Transforming protein RhoA,Rhoa,323639000,317766000,353466000,333712000,345297000,227545000,396299000,298649000,326804000,324105000
P61621,S61A1_RAT,Protein transport protein Sec61 subunit alpha isoform 1,Sec61a1,13833200,14001000,13678000,16867300,15924500,15571000,17571000,13866500,14841200,13071400
P61751,ARF4_RAT,ADP-ribosylation factor 4,Arf4,53646500,57509600,53313100,50450600,45268900,38258800,51162300,44072900,45807600,41560900
P61765,STXB1_RAT,Syntaxin-binding protein 1,Stxbp1,726142000,863802000,864830000,799132000,827747000,651897000,901740000,741611000,749069000,694012000
P61794,LPAR1_RAT,Lysophosphatidic acid receptor 1,Lpar1,26443300,28013300,30468100,28560500,27783100,22131100,32024000,23993900,28970800,30654300
P61805,DAD1_RAT,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,Dad1,49647900,52594100,53173200,61401800,60568500,45532300,57579400,44601200,46865800,47284700
P61959,SUMO2_RAT,Small ubiquitin-related modifier 2,Sumo2,1448800,2789450,1649700,2623390,1312050,1560230,1972670,1347360,2343700,1891020
P61972,NTF2_RAT,Nuclear transport factor 2,Nutf2,82881600,89411700,91653100,102321000,102251000,67054900,101647000,71799500,93329500,93131900
P61980,HNRPK_RAT,Heterogeneous nuclear ribonucleoprotein K,Hnrnpk,193759000,218741000,185306000,201393000,178004000,239764000,189010000,164508000,188382000,176981000
P61983,1433G_RAT,14-3-3 protein gamma,Ywhag,859193000,828342000,710034000,731351000,591076000,527092000,778427000,577995000,699211000,706764000
P62024,PHAR1_RAT,Phosphatase and actin regulator 1,Phactr1,10786400,9732420,9277080,8936700,9118450,7437690,9299630,7855540,9154580,8690650
P62025,PHAR2_RAT,Phosphatase and actin regulator 2,Phactr2,2227660,1830540,1453010,1623990,1853550,1646230,2071500,1595370,1865100,1770730
P62074,TIM10_RAT,Mitochondrial import inner membrane translocase subunit Tim10,Timm10,12797400,15481500,12100300,10573800,10411300,5036130,10938800,7017390,8495840,11063300
P62076,TIM13_RAT,Mitochondrial import inner membrane translocase subunit Tim13,Timm13,40801900,42675800,39605400,49739700,50425200,23728000,48033600,37400700,41483400,41022000
P62078,TIM8B_RAT,Mitochondrial import inner membrane translocase subunit Tim8 B,Timm8b,10396500,10233200,10362200,13874200,13233800,7834090,12309000,9495120,11420700,10187200
P62083,RS7_RAT,Small ribosomal subunit protein eS7,Rps7,65824500,58181600,59726900,61401900,58190000,39219600,64583100,61352900,56248400,56600000
P62138,PP1A_RAT,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Ppp1ca,326986000,341376000,331496000,335743000,311688000,200178000,332299000,294185000,309329000,299210000
P62142,PP1B_RAT,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Ppp1cb,70200000,71204000,68364500,66113000,59624300,51846700,69119600,62136100,58711200,61065300
P62168,NCS1_RAT,Neuronal calcium sensor 1,Ncs1,26219500,26875200,26546200,25702900,21390900,16234300,27470400,20537000,20195700,23304500
P62193,PRS4_RAT,26S proteasome regulatory subunit 4,Psmc1,43207200,40496700,44346600,45127000,43898300,28524300,53380400,36946800,39246000,41609900
P62198,PRS8_RAT,26S proteasome regulatory subunit 8,Psmc5,246419000,259751000,242671000,230375000,216443000,162776000,233622000,195841000,207184000,214130000
P62243,RS8_RAT,Small ribosomal subunit protein eS8,Rps8,126838000,30897100,32114200,29902600,24497100,62987400,22481600,124727000,26036400,21547700
P62246,RS15A_RAT,Small ribosomal subunit protein uS8,Rps15a,73103900,78707800,82333700,82315000,81888400,76394400,82829300,76546200,70573600,72130000
P62250,RS16_RAT,Small ribosomal subunit protein uS9,Rps16,86309200,57943600,63737100,64183100,65741500,71477800,73950000,84124500,58572900,51777800
P62255,UB2G1_RAT,Ubiquitin-conjugating enzyme E2 G1,Ube2g1,17477300,19536100,19717900,21800900,18777500,12863000,17822000,15230700,17227700,16757900
P62260,1433E_RAT,14-3-3 protein epsilon,Ywhae,5467520000,5598000000,5111180000,5260180000,4571970000,3950190000,5576740000,4481900000,4950200000,4875820000
